Generated_sentences,perplexity
maintain united front there. </s>,0.99999999994
started yet but so far so <unk> so true. </s>,6.45655149437834
morning 8 job <unk> at tomorrow! </s>,3.7377348103107275
london when the ladies <unk> starts now! </s>,3.903051316738738
doing nothing. </s>,0.9999999999666667
culture than for their 5th annual g s day picnic today!!! </s>,1.4902704968118512
cap on the <unk> </s>,1.6173446625695727
dallas good for your thoughts what golf item would you like to test me im,3.879780728305024
sleepy o <unk> 8pm warm up now! </s>,1.7067368364823958
one either. </s>,0.9999999999666667
went 101 and shared the happier we <unk> </s>,1.2902397677792885
action shot in the coaches of <unk> </s>,3.365572520639936
he should always be a brief checkin am in <unk> <unk> is wearing really tight,6.116443829947179
amazing job on the bus <unk> go away and die. </s>,3.947990193305186
giants cant . </s>,0.99999999995
people take their anger out on demand later though. </s>,1.7858763815406964
expectations 2 much credit the new and brilliant clothes. </s>,2.0399590889585264
what universe does and the dream tonight!! </s>,2.6018209791228872
6 rocks! </s>,0.9999999999666667
want time to celebrate the release of <unk> grand opening of at work. </s>,3.955578878039035
complete for <unk> </s>,1.2848758193104484
amazing women for our arts <unk> </s>,1.9166020274739732
didnt listen to all the way we do appreciate you gettin at me and mess,5.189994995340064
culture religion perspectives are <unk> </s>,1.1736859400983193
hard should it <unk> <unk> rt <unk> question great trade it is <unk> up thank,8.289660273824653
less <unk> </s>,1.409459746281429
things i want for a guy i started my first fantasy baseball brian <unk> really,7.292178525020308
baby out lol. </s>,0.99999999995
the bus? </s>,0.9999999999666667
to ! </s>,0.9999999999666667
thought thursday! </s>,0.9999999999666667
my email is some funny shit i dont care if its not just when i,4.681352304761554
saw through my tv. </s>,1.6437518290569753
big fish performing at the <unk> want to be at 930 pm. </s>,5.767165216031621
many games will you both be in front of someone when youre here id love,3.987978551504067
tweet me. </s>,0.9999999999666667
help wit <unk> <unk> </s>,1.9261640814738235
everyone walk around with some awesome <unk> of tears while listening to <unk> </s>,4.364760590256905
feel old <unk> but it is fake hair <unk> i was getting to know i,8.720661903859629
